ACCOUNT_COID,PURPRINCIPAL
CI 0014 416269716         , 5817.2756
CI 0014 416267935         , 10356.5352
CI 0014 416265372         , 5697.6744
CI 0014 416265439         , 11524.5108
CI 0014 416269318         , 7897.8288
CI 0014 416264947         , 2137.4012
CI 0014 416268574         , 674.88
CI 0014 416267628         , 211.6068
CI 0014 416267582         , 6578.5904
CI 0014 416269440         , 760.0
CI 0014 416269033         , 1838.4628
CI 0014 416265398         , 4508.0312
CI 0014 416263083         , 663.2824
CI 0014 416265685         , 2195.564
CI 0014 416269942         , 7918.8808
CI 0014 416263252         , 4700.258
CI 0014 416269168         , 4696.1084
CI 0014 416270098         , 8995.2232
CI 0014 416270354         , 4221.04
CI 0014 416268085         , 4700.7824
CI 0014 416263737         , 4976.1988
CI 0014 416268355         , 1923.0204
CI 0014 416267659         , 17090.4848
CI 0014 416268028         , 19140.6
CI 0014 416269323         , 8889.1424
CI 0014 416265407         , 7953.2252
CI 0014 416269322         , 4210.1568
CI 0014 416265691         , 5410.1968
CI 0014 416266198         , 97720.9976
CI 0014 416262532         , 10177.9884
CI 0014 416264236         , 2164.9436
CI 0014 416265406         , 21888.8512
CI 0014 416270262         , 5987.28
CI 0014 416268715         , 797.2704
CI 0014 416261298         , 4332.9576
CI 0014 416268543         , 6530.0492
CI 0014 416263736         , 63995.6252
CI 0014 416269186         , 780.9152
CI 0014 416260721         , 5940.9504
CI 0014 600039895         , 2509.8012
CI 0014 416265474         , 9278.7792
CI 0014 416267608         , 16015.518
CI 0014 416270134         , 5344.6696
CI 0014 416266257         , 3105.512
CI 0014 416268319         , 2438.9084
CI 0014 600039897         , 8409.7116
CI 0014 416268339         , 3988.3964
CI 0014 416269330         , 4242.0996
CI 0014 416268223         , 2054.6372
CI 0014 416261607         , 2778.5752
CI 0014 416267051         , 3199.6532
CI 0014 416267071         , 8527.2304
CI 0014 416269248         , 9413.1092
CI 0014 416269338         , 9059.2988
CI 0014 416265486         , 458.4244
CI 0014 416266581         , 11587.5984
CI 0014 416265058         , 5706.2776
CI 0014 416261684         , 3589.4724
CI 0014 416263827         , 6510.3576
CI 0014 416269109         , 1513.0688
CI 0014 600039896         , 24512.584
CI 0014 416268427         , 10365.488
CI 0014 416269307         , 1095.5552
CI 0014 416268799         , 1227.4532
CI 0014 416265395         , 3440.2312
CI 0014 416268417         , 1576.658
CI 0014 416268867         , 2255.5812
CI 0014 600039898         , 883.5456
CI 0014 416263963         , 6467.524
CI 0014 416269040         , 19352.4956
CI 0014 416261697         , 13560.3988
CI 0014 416268806         , 2536.6368
CI 0014 416265866         , 6827.7488
CI 0014 416267043         , 23294.5168
CI 0014 416267619         , 1220.2712
CI 0014 416269346         , 12436.7464
CI 0014 416268721         , 1993.1684
CI 0014 416268505         , 4342.8604
CI 0014 416269629         , 2134.156
CI 0014 416267064         , 8782.2636
CI 0014 416266279         , 1035.1656
CI 0014 600039900         , 5207.8696
CI 0014 416269636         , 1238.3212
CI 0014 416260583         , 9753.84
CI 0014 416266569         , 27343.0216
CI 0014 416263207         , 7030.5092
CI 0014 416265500         , 3809.5304
CI 0014 416268604         , 9618.8792
CI 0014 416268446         , 815.4876
CI 0014 416266848         , 9918.6612
CI 0014 416261437         , 5927.8556
CI 0014 416267528         , 1239.0128
CI 0014 416261618         , 1754.8172
CI 0014 600039899         , 1085.7892
CI 0014 416269824         , 3358.2576
CI 0014 416267166         , 6898.6568
CI 0014 416266260         , 3105.512
CI 0014 600039901         , 2091.2008
CI 0014 416267046         , 7550.5468
CI 0014 416267968         , 1063.8708
CI 0014 416266752         , 5379.3028
CI 0014 416265164         , 4144.5764
CI 0014 416266720         , 2166.3952
CI 0014 416267560         , 9337.6184
CI 0014 416269570         , 5221.6256
CI 0014 416269350         , 2831.1444
CI 0014 416270105         , 5561.4672
CI 0014 416263210         , 1196.468
CI 0014 416269611         , 7251.2436
CI 0014 416270348         , 2089.544
CI 0014 416268724         , 3107.4348
CI 0014 416268723         , 713.3664
CI 0014 416264745         , 20847.1572
CI 0014 416269552         , 4622.092
CI 0014 416268420         , 9752.9432
CI 0014 600039902         , 6352.8324
CI 0014 416265744         , 9909.4044
CI 0014 416269316         , 7338.0052
CI 0014 416268577         , 674.88
